longitude, latitude,name
-118.2381,34.0629,Anheuser-Busch
-118.23762,34.04624,Angel City Brewing
-118.23534,34.04458,Arts District Brewing
-118.25603,34.05345,Bonaventure Brewing
-118.23322,34.05076,Boomtown Brewery
-118.22348,34.03589,Dry River Brewing
-118.24327,34.11486,Eagle Rock Brewery
-118.25134,34.10701,FrogTown Brewery
-118.43066,34.04259,Gentleman Scholar Brewing
-118.34994,34.20673,Golden Road Brewing
-118.20379,34.12117,Highland Park Brewery
-118.22261,34.03511,Indie Brewing
-118.22268,34.03577,Indie Brewing Tasting Room
-118.2358,34.03619,Iron Triangle Brewing
-118.25649,34.04796,Karl Strauss Brewing Co
-118.25121,34.04205,Los Angeles Ale Works
-118.24201,34.04609,Mumford Brewing
-118.21853,34.07859,Nakhon Brewing
-118.2302,34.02088,Nibble Bit Tabby Brewery
-118.12782,34.0943,Ohana Brewing
-118.41882,33.98936,Pipe Dream Brewery
-118.24201,34.04609,Solarc Beer Co
-118.23544,34.04463,Traction Avenue Brewpub
-118.37475,34.05069,Trademark Brewing
-118.41733,34.00132,Venice Duck Brewery
-118.23909,34.0492,Weiland Brewery Restaurant
-118.25615,34.05152,Weiland Brewery Underground
-120.85486,37.06757,Paraiso Brewery
-121.92133,37.10075,Altered States Brewing Co
-121.9823,37.22529,Loma Brewing
-121.98264,37.22524,Los Gatos Brewing
-120.02208,36.97439,Riley's Brewing
-120.07319,36.94959,Three Monkeys Brewing Co
-121.57765,39.84084,Feather River Brewing
-118.80968,34.02035,County Coast Brewing
-118.9674,37.63953,Black Doubt Brewing Co
-118.9839,37.64858,Mammoth Brewing Co
-121.21553,37.79713,Fossil Fuels Brewing Co
-121.82826,40.42772,Cedar Crest Brewing
-121.80356,36.68006,English Ales Brewery
-119.96468,37.48482,Chappell Brewery
-119.9491,37.46293,Mariposa Brewing Company
-119.94817,37.46309,Prospectors Brewing
-119.96601,37.48565,Prospectors Brewing
-122.13766,38.01766,Creek Monkey Tap House
-122.09302,37.95829,Excelsior Brewing
-124.10097,40.94769,Humboldt Regeneration Brewhouse
-124.1008,40.92696,Six Rivers Brewery
-117.17735,33.68932,Mason Jar Brewing
-120.48367,37.30275,Rascal Creek Brewery
-120.35514,37.29586,Red Rock Winery & Brewery
-122.61554,38.75209,Mount St.Helena Brewing
-122.54534,37.90473,Headlands Brewing Co
-122.54954,37.90537,Mill Valley Beer Works
-117.67495,33.61969,Oggi's Pizza and Brewing
-120.98254,37.63798,Hornsby's Pubdrafts Ltd.(E&J Gallo)
-120.99998,37.6421,Sandude Brewing Taproom
-120.99998,37.6421,St. Stan's Brewery Pub and Restaurant
-120.70591,38.30118,Double Springs Brewing
-118.00163,34.12921,Pacific Plate Brewing
-117.68697,34.09151,Dragon's Tale Brewery
-121.89492,36.59931,Alvarado Street Brewery
-121.90105,36.6156,Cannery Row Brewing Co
-121.82757,36.58067,Monterey Bay Brewing
-121.89463,36.6024,Peter B's Brewpub
-118.87183,34.28259,Enegren Brewing
-117.27037,33.91306,Kat Daddy Brewery
-117.25985,33.91726,PH Woods Diner and Brewery
-121.6546,37.13033,El Toro Brewpub
-120.85356,35.36589,Libertine Pub
-120.86239,35.39937,Three Stacks and a Rock Brewing
-120.80948,35.45292,Toro Creek Brewing Co
-122.08073,37.39451,Tied House Brewery
-120.45408,38.13581,Growler Craft Brewery
-117.17622,33.52976,8 Bit Brewing
-117.17432,33.53086,Bulldog Brewery
-117.17815,33.53448,Inland Wharf Brewing
-117.17293,33.53427,Oriole Brew Co
-122.28495,38.29856,Downtown Joe's Brewery & Restaurant
-122.26116,38.22884,Napa Point Brewing
-122.25697,38.22545,Napa Smith Brewing Co
